latitude,longitude,population_1km,population_3km,population_density,nearest_major_road_km,road_density,competitors_1km,competitors_3km,nearest_competitor_km,landuse_score,environment_risk_score,catchment_population_10m,catchment_population_20m,catchment_population_30m,target_readiness
22.252287,70.7677,4282.0,79700.0,1363.0,1.236,4.89,0.0,1.0,5.0,49.2,100.0,79700.0,495923.0,748543.0,75.73
22.242581,70.836095,2240.0,43563.0,713.0,1.891,0.0,0.0,0.0,5.0,50.0,100.0,43563.0,181159.0,509452.0,70.83
22.23754,70.77643,2190.0,24497.0,697.1,1.551,0.0,0.0,0.0,5.0,50.0,100.0,24497.0,269041.0,698313.0,71.81
22.340647,70.87246,1930.0,17356.0,614.3,1.198,0.0,0.0,0.0,5.0,44.2,100.0,17356.0,71996.0,206478.0,74.38
22.375169,70.719404,752.0,5609.0,239.4,1.976,0.0,0.0,0.0,5.0,50.0,100.0,5609.0,24507.0,149517.0,70.81
22.334371,70.764799,4400.0,67988.0,1400.6,0.189,4.3,1.0,3.0,5.0,50.0,100.0,67988.0,473123.0,731379.0,80.94
22.318241,70.778079,28072.0,195251.0,8935.6,0.372,3.22,2.0,4.0,5.0,49.2,100.0,195251.0,635176.0,821695.0,73.82
22.300634,70.744138,51869.0,218893.0,16510.4,1.707,1.27,1.0,7.0,5.0,75.8,100.0,218893.0,550755.0,744933.0,63.38
22.302044,70.876705,2183.0,20199.0,694.9,0.129,1.65,0.0,0.0,5.0,50.0,100.0,20199.0,98383.0,385741.0,83.06
22.269761,70.915001,655.0,5270.0,208.5,1.778,0.0,0.0,0.0,5.0,44.2,100.0,5270.0,25119.0,89655.0,66.58
22.325263,70.80278,7541.0,117809.0,2400.4,1.338,1.57,0.0,1.0,5.0,49.2,100.0,117809.0,469076.0,822534.0,74.48
22.29997,70.76176,35782.0,310217.0,11389.8,0.68,4.71,1.0,9.0,5.0,50.0,100.0,310217.0,637802.0,807810.0,75.39
22.239428,70.874964,1123.0,10382.0,357.5,0.397,0.81,0.0,0.0,5.0,44.2,100.0,10382.0,64338.0,200214.0,81.24
22.275879,70.900012,1064.0,9707.0,338.7,0.235,1.96,0.0,0.0,5.0,44.2,100.0,9707.0,43023.0,156176.0,81.82
22.247618,70.809312,4833.0,81156.0,1538.4,0.4,4.92,0.0,1.0,5.0,50.0,100.0,81156.0,371358.0,696679.0,82.77
22.363873,70.842161,2065.0,18136.0,657.3,2.962,0.0,0.0,0.0,5.0,50.0,100.0,18136.0,73058.0,258698.0,65.69
22.377379,70.894897,538.0,4143.0,171.3,4.188,0.0,0.0,0.0,5.0,44.2,100.0,4143.0,19370.0,56644.0,68.67
22.285844,70.826114,8764.0,159825.0,2789.7,0.154,6.02,0.0,3.0,5.0,50.0,20.0,159825.0,486606.0,768029.0,73.46
22.26354,70.72844,1689.0,41002.0,537.6,0.523,2.53,0.0,1.0,5.0,49.2,100.0,41002.0,314932.0,639830.0,78.31
22.35887,70.721002,1121.0,10168.0,356.8,0.662,0.0,0.0,0.0,5.0,50.0,100.0,10168.0,52218.0,315617.0,73.18
22.233549,70.727853,968.0,8369.0,308.1,3.213,0.75,0.0,0.0,5.0,50.0,100.0,8369.0,76760.0,385993.0,66.28
22.344442,70.915192,647.0,4960.0,205.9,0.189,4.0,0.0,0.0,5.0,44.2,100.0,4960.0,22450.0,62766.0,82.74
22.287658,70.798721,71434.0,295037.0,22738.1,0.149,5.09,2.0,4.0,5.0,75.0,60.0,295037.0,661427.0,836389.0,76.66
22.328362,70.800024,7439.0,101664.0,2367.9,1.049,1.49,0.0,1.0,5.0,49.2,100.0,101664.0,455219.0,817569.0,74.24
22.343666,70.75558,2792.0,30637.0,888.7,0.864,0.0,0.0,1.0,5.0,50.0,100.0,30637.0,303247.0,663365.0,71.87
22.355763,70.88795,1140.0,10111.0,362.9,2.213,0.0,0.0,0.0,5.0,44.2,100.0,10111.0,38737.0,99677.0,70.66
22.225455,70.734555,921.0,6780.0,293.2,2.917,0.78,0.0,0.0,5.0,50.0,100.0,6780.0,53235.0,353258.0,71.98
22.293771,70.769589,38791.0,360169.0,12347.6,0.017,3.87,2.0,8.0,5.0,75.8,100.0,360169.0,678171.0,820117.0,80.18
22.358562,70.871088,1512.0,13229.0,481.3,2.856,0.89,0.0,0.0,5.0,44.2,100.0,13229.0,53044.0,131453.0,68.41
22.230382,70.714872,765.0,5289.0,243.5,3.356,0.0,0.0,0.0,5.0,44.2,100.0,5289.0,28617.0,290753.0,68.07
22.277801,70.816364,20919.0,211554.0,6658.7,0.464,5.19,0.0,3.0,5.0,73.3,100.0,211554.0,548819.0,802166.0,84.22
22.270912,70.79282,13006.0,254856.0,4139.9,0.152,4.29,0.0,5.0,5.0,50.0,100.0,254856.0,637986.0,811576.0,83.25
22.267263,70.866472,2210.0,23701.0,703.5,0.014,2.15,0.0,0.0,5.0,44.2,100.0,23701.0,148481.0,408655.0,81.37
22.368322,70.75007,1669.0,13160.0,531.3,3.072,0.0,0.0,0.0,5.0,50.0,100.0,13160.0,64791.0,378476.0,71.3
22.258014,70.910321,750.0,5714.0,238.7,1.34,0.0,0.0,0.0,5.0,44.2,100.0,5714.0,24929.0,95250.0,71.58
22.300115,70.716689,4620.0,91110.0,1470.6,1.109,0.0,0.0,3.0,5.0,50.0,100.0,91110.0,286311.0,597162.0,76.12
22.350117,70.901221,841.0,7892.0,267.7,1.105,0.0,0.0,0.0,5.0,44.2,100.0,7892.0,30861.0,81764.0,67.91
22.282987,70.763822,48387.0,284059.0,15402.1,0.258,4.79,2.0,5.0,5.0,50.0,60.0,284059.0,657389.0,800442.0,67.22
22.266222,70.887623,1279.0,12418.0,407.1,1.053,0.0,0.0,0.0,5.0,44.2,100.0,12418.0,69264.0,217666.0,69.48
22.376175,70.776497,1513.0,12282.0,481.6,2.337,0.0,0.0,0.0,5.0,50.0,100.0,12282.0,61857.0,306674.0,69.64
22.359135,70.706571,815.0,6042.0,259.4,0.231,1.98,0.0,0.0,5.0,50.0,100.0,6042.0,31538.0,222188.0,82.88
22.255923,70.728653,1450.0,19882.0,461.5,1.342,0.35,0.0,0.0,5.0,49.2,100.0,19882.0,284591.0,614991.0,71.3
22.227392,70.794455,1644.0,13965.0,523.3,0.716,0.86,0.0,0.0,5.0,50.0,100.0,13965.0,180786.0,567161.0,77.04
22.222709,70.810866,1274.0,10931.0,405.5,0.713,0.0,0.0,0.0,5.0,50.0,100.0,10931.0,129385.0,446657.0,76.15
22.257695,70.76105,7882.0,102340.0,2508.9,0.617,3.72,0.0,1.0,5.0,49.2,100.0,102340.0,530800.0,751449.0,77.74
22.26142,70.895701,1096.0,9503.0,348.9,0.216,1.11,0.0,0.0,5.0,44.2,100.0,9503.0,43501.0,164667.0,80.23
22.287345,70.857397,3184.0,36905.0,1013.5,0.71,0.0,0.0,0.0,5.0,50.0,60.0,36905.0,226036.0,532310.0,67.16
22.319435,70.803659,9915.0,164416.0,3156.0,1.316,1.65,0.0,3.0,5.0,49.2,100.0,164416.0,524578.0,830743.0,70.79
22.267834,70.715422,1442.0,22466.0,459.0,0.252,1.69,0.0,1.0,5.0,44.2,60.0,22466.0,255727.0,529794.0,72.37
22.360705,70.769346,2378.0,22152.0,756.9,2.289,1.09,0.0,0.0,5.0,49.2,100.0,22152.0,130164.0,554221.0,69.17
22.343463,70.75069,2735.0,27330.0,870.6,0.58,0.35,0.0,1.0,5.0,50.0,100.0,27330.0,280470.0,649790.0,73.74
22.315764,70.710903,1613.0,31829.0,513.4,1.748,0.84,0.0,1.0,5.0,50.0,100.0,31829.0,210971.0,510493.0,71.64
22.333367,70.865414,2333.0,22288.0,742.6,0.118,2.05,0.0,0.0,5.0,44.2,100.0,22288.0,92579.0,367565.0,82.32
22.260365,70.869495,1752.0,18550.0,557.7,0.208,2.23,0.0,0.0,5.0,44.2,100.0,18550.0,126607.0,345761.0,85.57
22.359673,70.798321,3025.0,27405.0,962.9,0.394,1.62,0.0,0.0,5.0,49.2,100.0,27405.0,142592.0,514189.0,75.21
22.291897,70.890916,1525.0,13911.0,485.4,0.685,0.0,0.0,0.0,5.0,44.2,20.0,13911.0,61670.0,219283.0,62.76
22.300409,70.708461,2335.0,39853.0,743.3,1.958,0.0,0.0,2.0,5.0,50.0,100.0,39853.0,220205.0,512426.0,68.8
22.301269,70.876187,2183.0,20558.0,694.9,0.219,1.75,0.0,0.0,5.0,50.0,100.0,20558.0,100798.0,389117.0,83.04
22.248851,70.7,497.0,4552.0,158.2,0.994,1.09,0.0,0.0,5.0,50.0,100.0,4552.0,47847.0,310859.0,75.71
22.245469,70.790345,2825.0,51479.0,899.2,0.512,4.79,0.0,1.0,5.0,49.2,100.0,51479.0,405205.0,738165.0,86.59
22.343236,70.890885,1283.0,11289.0,408.4,0.812,0.0,0.0,0.0,5.0,44.2,100.0,11289.0,45176.0,113156.0,72.49
22.375575,70.712486,612.0,4386.0,194.8,1.614,0.54,0.0,0.0,5.0,50.0,100.0,4386.0,20026.0,116823.0,68.3
22.313331,70.855647,3715.0,32779.0,1182.5,1.272,0.0,0.0,0.0,5.0,50.0,100.0,32779.0,175505.0,529739.0,73.83
22.284822,70.708544,1507.0,34207.0,479.7,2.258,0.82,0.0,1.0,5.0,50.0,100.0,34207.0,224717.0,498946.0,67.81
22.363089,70.810239,2617.0,24080.0,833.0,0.878,0.0,0.0,0.0,5.0,50.0,100.0,24080.0,104738.0,418947.0,74.94
22.279787,70.750413,22472.0,245571.0,7153.1,0.879,2.23,0.0,7.0,5.0,50.0,60.0,245571.0,589589.0,764357.0,66.29
22.31851,70.714464,2333.0,37597.0,742.6,1.392,0.0,0.0,1.0,5.0,50.0,100.0,37597.0,228172.0,537632.0,75.74
22.225036,70.895506,537.0,4256.0,170.9,1.406,0.42,0.0,0.0,5.0,44.2,100.0,4256.0,18088.0,84680.0,69.46
22.321366,70.750017,5546.0,124863.0,1765.3,1.632,1.36,0.0,5.0,5.0,49.2,100.0,124863.0,514636.0,725142.0,72.77
22.279263,70.894182,1312.0,11933.0,417.6,0.364,1.9,0.0,0.0,5.0,44.2,100.0,11933.0,55076.0,194046.0,80.7
22.343657,70.814542,4218.0,40708.0,1342.6,0.441,3.96,0.0,0.0,5.0,49.2,100.0,40708.0,267943.0,646421.0,82.48
22.242224,70.857933,1511.0,16921.0,481.0,1.75,0.0,0.0,0.0,5.0,50.0,100.0,16921.0,126462.0,331044.0,71.15
22.237665,70.890806,853.0,7324.0,271.5,0.47,1.28,0.0,0.0,5.0,44.2,100.0,7324.0,29630.0,136332.0,75.83
22.227567,70.748543,1158.0,9216.0,368.6,1.519,0.0,0.0,0.0,5.0,50.0,100.0,9216.0,100124.0,497709.0,71.72
22.354892,70.847424,2484.0,21760.0,790.7,2.042,0.0,0.0,0.0,5.0,49.2,100.0,21760.0,85390.0,322438.0,70.32
22.370757,70.805027,2207.0,18114.0,702.5,0.565,0.64,0.0,0.0,5.0,50.0,100.0,18114.0,80376.0,341792.0,76.69
22.304781,70.744715,33587.0,213717.0,10691.1,1.763,1.74,1.0,7.0,5.0,49.2,100.0,213717.0,546688.0,741986.0,61.86
22.222404,70.719635,591.0,4291.0,188.1,4.336,1.02,0.0,0.0,5.0,44.2,100.0,4291.0,21338.0,245096.0,66.88
22.274121,70.802642,29115.0,249922.0,9267.6,0.372,6.94,0.0,4.0,5.0,73.3,100.0,249922.0,605239.0,815617.0,86.16
22.300177,70.778593,39444.0,347074.0,12555.4,0.832,4.06,0.0,9.0,5.0,73.3,100.0,347074.0,698443.0,834385.0,77.86
22.307028,70.716653,3828.0,79157.0,1218.5,1.122,0.0,0.0,3.0,5.0,50.0,100.0,79157.0,275309.0,588107.0,67.78
22.265645,70.805839,28356.0,178996.0,9026.0,0.63,5.46,1.0,3.0,5.0,73.3,100.0,178996.0,545466.0,794123.0,79.87
22.235611,70.794479,2168.0,23013.0,690.1,0.624,1.19,0.0,0.0,5.0,50.0,100.0,23013.0,273273.0,656894.0,80.15
22.284962,70.851211,3687.0,51258.0,1173.6,1.02,0.0,0.0,0.0,5.0,50.0,60.0,51258.0,291562.0,593684.0,67.47
22.277577,70.818348,20529.0,200888.0,6534.6,0.588,2.99,0.0,3.0,5.0,73.3,100.0,200888.0,533963.0,792616.0,84.23
22.292235,70.884694,1819.0,16090.0,579.0,1.161,0.0,0.0,0.0,5.0,44.2,20.0,16090.0,79774.0,286085.0,60.85
22.372312,70.871373,1164.0,8085.0,370.5,4.319,1.02,0.0,0.0,5.0,44.2,100.0,8085.0,37137.0,99861.0,67.09
22.250091,70.776829,3559.0,72055.0,1132.9,1.305,2.78,0.0,1.0,5.0,49.2,100.0,72055.0,482315.0,752827.0,72.28
22.309486,70.846944,4757.0,41024.0,1514.2,1.083,0.0,0.0,0.0,5.0,50.0,100.0,41024.0,306988.0,617289.0,70.8
22.32936,70.815418,6827.0,58777.0,2173.1,0.049,3.89,0.0,0.0,5.0,49.2,100.0,58777.0,391946.0,772512.0,84.42
22.304349,70.854957,3621.0,34610.0,1152.6,0.954,0.0,0.0,0.0,5.0,50.0,100.0,34610.0,227896.0,553793.0,73.76
22.377357,70.869461,854.0,6826.0,271.8,4.819,0.0,0.0,0.0,5.0,44.2,100.0,6826.0,33345.0,91687.0,64.44
22.302055,70.723204,8372.0,122543.0,2664.9,0.446,1.17,0.0,4.0,5.0,49.2,100.0,122543.0,340503.0,636816.0,75.41
22.290872,70.768684,42501.0,357949.0,13528.5,0.185,5.59,2.0,8.0,5.0,75.8,100.0,357949.0,677071.0,816318.0,83.45
22.285892,70.854625,3464.0,43200.0,1102.6,0.967,0.0,0.0,0.0,5.0,50.0,60.0,43200.0,249879.0,562206.0,63.81
22.329143,70.79908,6833.0,99867.0,2175.0,1.002,2.43,0.0,1.0,5.0,49.2,100.0,99867.0,451355.0,816998.0,76.15
22.25984,70.714045,1205.0,11819.0,383.6,0.268,1.71,0.0,0.0,5.0,44.2,100.0,11819.0,206652.0,455511.0,80.76
22.333508,70.816575,5640.0,51012.0,1795.3,0.321,3.9,0.0,0.0,5.0,49.2,100.0,51012.0,358890.0,738467.0,83.92
22.290886,70.734339,41653.0,175866.0,13258.6,0.245,2.03,0.0,6.0,5.0,75.8,100.0,175866.0,448592.0,701647.0,82.68
22.345071,70.886184,1284.0,12260.0,408.7,1.165,0.0,0.0,0.0,5.0,44.2,100.0,12260.0,49523.0,121499.0,72.19
22.32849,70.889415,1500.0,13555.0,477.5,0.086,1.47,0.0,0.0,5.0,44.2,100.0,13555.0,55888.0,150285.0,81.37
22.318022,70.815161,8767.0,105161.0,2790.6,0.937,2.69,0.0,0.0,5.0,49.2,100.0,105161.0,481731.0,817822.0,76.66
22.250963,70.761253,2971.0,68344.0,945.7,0.588,3.39,0.0,1.0,5.0,49.2,100.0,68344.0,429794.0,735120.0,77.35
22.258731,70.84499,5381.0,61862.0,1712.8,1.488,0.0,0.0,0.0,5.0,75.0,100.0,61862.0,230972.0,551145.0,73.95
22.293299,70.858251,3321.0,32634.0,1057.1,0.065,1.1,0.0,0.0,5.0,44.2,20.0,32634.0,214484.0,530681.0,70.17
22.304224,70.849241,4218.0,39928.0,1342.6,0.687,0.0,0.0,0.0,5.0,50.0,100.0,39928.0,302876.0,610872.0,76.04
22.294525,70.8212,8334.0,182480.0,2652.8,0.081,5.26,0.0,3.0,5.0,50.0,60.0,182480.0,541484.0,811625.0,79.3
22.354042,70.882093,1259.0,11755.0,400.8,2.245,0.0,0.0,0.0,5.0,44.2,100.0,11755.0,45983.0,115452.0,67.27
22.348258,70.743093,2166.0,20282.0,689.5,0.734,0.62,0.0,0.0,5.0,50.0,100.0,20282.0,196897.0,576009.0,73.6
22.349308,70.848647,2600.0,23592.0,827.6,1.444,0.0,0.0,0.0,5.0,49.2,100.0,23592.0,95343.0,373949.0,76.45
22.243467,70.901241,710.0,6502.0,226.0,0.619,1.05,0.0,0.0,5.0,44.2,100.0,6502.0,24975.0,104950.0,77.77
22.258941,70.846358,4303.0,60025.0,1369.7,1.445,0.0,0.0,0.0,5.0,50.0,100.0,60025.0,221060.0,542109.0,73.88
22.357698,70.828087,2892.0,25739.0,920.6,2.1,0.74,0.0,0.0,5.0,49.2,100.0,25739.0,102430.0,406469.0,71.27
22.254897,70.918122,440.0,3906.0,140.1,2.209,0.0,0.0,0.0,5.0,44.2,100.0,3906.0,18460.0,65467.0,70.57
22.267982,70.807453,34056.0,191126.0,10840.4,0.596,4.57,1.0,3.0,5.0,73.3,100.0,191126.0,550274.0,798859.0,81.07
22.278727,70.806967,33425.0,255984.0,10639.5,0.249,7.08,0.0,4.0,5.0,73.3,60.0,255984.0,601278.0,820670.0,85.1
22.309005,70.774079,37064.0,271893.0,11797.8,0.611,3.3,2.0,7.0,5.0,50.0,100.0,271893.0,662056.0,826054.0,69.55
22.372737,70.876266,979.0,7593.0,311.6,4.399,1.06,0.0,0.0,5.0,44.2,100.0,7593.0,33557.0,90608.0,69.32
22.303302,70.754684,26874.0,269233.0,8554.3,1.395,2.09,1.0,8.0,5.0,50.0,100.0,269233.0,609522.0,784103.0,68.0
22.266309,70.73161,2255.0,61812.0,717.8,0.282,2.68,0.0,2.0,5.0,49.2,100.0,61812.0,336582.0,662864.0,77.07
22.350337,70.768193,2961.0,30182.0,942.5,1.465,2.17,0.0,1.0,5.0,49.2,100.0,30182.0,235560.0,653131.0,73.27
22.376583,70.869369,890.0,7197.0,283.3,4.733,0.0,0.0,0.0,5.0,44.2,100.0,7197.0,33958.0,93442.0,67.7
22.264454,70.745074,3211.0,109258.0,1022.1,0.446,0.7,0.0,2.0,5.0,49.2,100.0,109258.0,436183.0,720295.0,74.77
22.327957,70.704596,1015.0,10625.0,323.1,1.644,0.0,0.0,0.0,5.0,50.0,100.0,10625.0,138520.0,385126.0,69.96
22.286327,70.912893,852.0,6562.0,271.2,1.407,1.02,0.0,0.0,5.0,44.2,100.0,6562.0,30211.0,102937.0,74.87
22.321213,70.89935,1116.0,10857.0,355.2,0.829,0.55,0.0,0.0,5.0,44.2,100.0,10857.0,44975.0,126686.0,75.68
22.329179,70.745787,3623.0,62697.0,1153.2,0.85,0.0,0.0,2.0,5.0,49.2,100.0,62697.0,414185.0,681933.0,72.91
22.319451,70.843221,4320.0,41223.0,1375.1,0.202,3.73,0.0,0.0,5.0,49.2,100.0,41223.0,271386.0,611702.0,83.0
22.289897,70.876935,1991.0,19549.0,633.8,1.457,1.08,0.0,0.0,5.0,44.2,60.0,19549.0,107650.0,382485.0,66.64
22.320452,70.753858,5866.0,136631.0,1867.2,1.403,0.8,0.0,6.0,5.0,0.0,100.0,136631.0,550660.0,744252.0,10.37
22.319834,70.7659,15255.0,151337.0,4855.8,0.163,2.41,0.0,4.0,5.0,50.0,100.0,151337.0,609079.0,791456.0,80.62
22.360484,70.850637,2071.0,17697.0,659.2,2.7,0.0,0.0,0.0,5.0,49.2,100.0,17697.0,71218.0,223884.0,66.75
22.38,70.811966,1144.0,10972.0,364.1,1.156,0.0,0.0,0.0,5.0,50.0,100.0,10972.0,55568.0,219020.0,69.58
22.239124,70.712919,802.0,6545.0,255.3,2.366,0.0,0.0,0.0,5.0,44.2,100.0,6545.0,50941.0,328855.0,71.06
22.224216,70.835118,1369.0,10238.0,435.8,1.797,1.03,0.0,0.0,5.0,50.0,100.0,10238.0,113340.0,338990.0,73.09
22.285772,70.846268,4548.0,60532.0,1447.7,0.906,0.0,0.0,0.0,5.0,50.0,60.0,60532.0,339722.0,643901.0,66.48
